,zipcode,name,population,median_income,White,African American,gini_index,labor_participation,unemployment,poverty_rate
0,10100,"Aberdeen, SD Micro Area",42608,54533,39040,631,0.4505,68.9,1.2,7.1
1,10140,"Aberdeen, WA Micro Area",71454,45483,62880,717,0.4403,52.0,8.6,10.1
2,10180,"Abilene, TX Metro Area",169000,48156,131890,13529,0.4612,60.1,3.3,11.5
3,10220,"Ada, OK Micro Area",38289,46689,26813,829,0.4434,60.3,5.5,11.9
4,10260,"Adjuntas, PR Micro Area",18525,11680,14396,120,0.5704,42.2,46.8,61.3
5,10300,"Adrian, MI Micro Area",98585,51339,91353,2649,0.4149,59.0,5.1,9.2
6,10380,"Aguadilla-Isabela, PR Metro Area",315100,15769,220100,9316,0.5194,40.1,19.2,49.6
7,10420,"Akron, OH Metro Area",703398,53418,575891,85030,0.4656,64.5,5.9,9.7
8,10460,"Alamogordo, NM Micro Area",65130,43533,50892,2199,0.4454,55.9,7.3,16.2
9,10500,"Albany, GA Metro Area",153776,40612,66431,81244,0.4825,58.2,8.0,20.9
10,10540,"Albany, OR Metro Area",121074,49515,111010,465,0.4260,58.2,7.3,11.3
11,10580,"Albany-Schenectady-Troy, NY Metro Area",881862,65743,735020,68660,0.4430,65.0,4.8,6.9
12,10620,"Albemarle, NC Micro Area",60875,46017,51213,6784,0.4248,61.2,5.2,11.2
13,10660,"Albert Lea, MN Micro Area",30619,51174,28851,407,0.4159,64.6,2.6,8.0
14,10700,"Albertville, AL Micro Area",94738,41104,87765,2091,0.4816,55.7,4.7,15.8
15,10740,"Albuquerque, NM Metro Area",905049,50781,672071,23443,0.4641,61.2,6.0,13.4
16,10760,"Alexander City, AL Micro Area",40756,42181,28455,11216,0.4536,51.1,4.2,16.8
17,10780,"Alexandria, LA Metro Area",154385,42275,101858,45699,0.4753,54.9,4.9,15.7
18,10820,"Alexandria, MN Micro Area",36891,58667,35839,245,0.4440,66.0,2.5,4.3
19,10860,"Alice, TX Micro Area",41318,41103,39731,246,0.4879,55.7,3.8,17.5
20,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832790,62479,700165,46910,0.4428,64.6,5.2,8.1
21,10940,"Alma, MI Micro Area",41319,42256,37711,2388,0.4700,48.5,4.6,16.4
22,10980,"Alpena, MI Micro Area",28730,40954,27816,170,0.4296,56.6,6.9,9.9
23,11020,"Altoona, PA Metro Area",124736,45664,119348,1862,0.4439,58.7,4.1,11.0
24,11060,"Altus, OK Micro Area",25574,45189,17710,1861,0.4394,63.4,3.8,14.8
25,11100,"Amarillo, TX Metro Area",261827,53665,221660,15647,0.4593,65.4,2.0,11.4
26,11140,"Americus, GA Micro Area",35855,35189,16531,17533,0.4800,54.2,5.9,26.0
27,11180,"Ames, IA Metro Area",95888,52671,83487,1835,0.4677,66.0,3.0,4.5
28,11220,"Amsterdam, NY Micro Area",49500,47449,43680,887,0.4542,60.2,5.8,14.5
29,11260,"Anchorage, AK Metro Area",399360,80724,273964,17473,0.4184,70.8,5.2,5.6
30,11380,"Andrews, TX Micro Area",17577,70753,16134,367,0.4540,66.3,0.1,10.8
31,11420,"Angola, IN Micro Area",34459,52749,33515,82,0.3960,64.0,4.1,6.9
32,11460,"Ann Arbor, MI Metro Area",361509,65618,267225,42966,0.4785,64.8,5.0,7.0
33,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115527,43686,86136,23735,0.4629,56.9,7.6,14.9
34,11540,"Appleton, WI Metro Area",233025,63415,211909,2717,0.4055,71.1,2.4,5.9
35,11580,"Arcadia, FL Micro Area",35675,35435,29791,4572,0.4486,46.0,7.9,20.9
36,11620,"Ardmore, OK Micro Area",48407,47754,35899,3080,0.4669,58.6,2.9,11.8
37,11640,"Arecibo, PR Metro Area",188012,17298,162104,5955,0.5185,38.6,13.9,44.9
38,11660,"Arkadelphia, AR Micro Area",22495,37144,16186,5368,0.4510,57.6,1.9,14.5
39,11680,"Arkansas City-Winfield, KS Micro Area",35732,46624,31510,1077,0.4282,58.4,4.7,11.1
40,11700,"Asheville, NC Metro Area",445625,48159,403661,20761,0.4554,59.0,4.3,9.0
41,11740,"Ashland, OH Micro Area",53299,50893,51640,421,0.4108,61.6,2.4,9.4
42,11780,"Ashtabula, OH Micro Area",98622,43017,91628,3607,0.4335,54.7,4.9,14.2
43,11820,"Astoria, OR Micro Area",38021,49828,34512,295,0.4209,60.0,4.8,7.1
44,11860,"Atchison, KS Micro Area",16466,46640,14922,510,0.4919,63.4,7.6,13.5
45,11900,"Athens, OH Micro Area",65563,37191,59620,1691,0.5086,52.7,10.0,17.3
46,11940,"Athens, TN Micro Area",52569,39990,48627,1875,0.4538,53.5,6.4,16.1
47,11980,"Athens, TX Micro Area",79687,44888,71083,5466,0.4615,51.4,5.7,13.2
48,12020,"Athens-Clarke County, GA Metro Area",202780,42418,146061,40840,0.5089,60.3,5.0,15.1
49,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5700990,61733,3112830,1920782,0.4723,67.0,6.7,10.4
50,12100,"Atlantic City-Hammonton, NJ Metro Area",272926,57514,182673,41259,0.4631,65.2,9.4,12.1
51,12120,"Atmore, AL Micro Area",37621,35026,23087,12128,0.4844,46.6,9.9,17.9
52,12140,"Auburn, IN Micro Area",42524,51374,41354,126,0.4183,66.3,2.3,9.0
53,12180,"Auburn, NY Micro Area",78319,54664,72040,3192,0.4267,61.2,3.2,8.4
54,12220,"Auburn-Opelika, AL Metro Area",156597,47564,109481,36139,0.5008,60.6,3.7,13.3
55,12260,"Augusta-Richmond County, GA-SC Metro Area",589519,49064,345479,209658,0.4664,59.3,6.5,14.2
56,12300,"Augusta-Waterville, ME Micro Area",121289,50116,116339,1088,0.4289,61.9,3.8,8.9
57,12380,"Austin, MN Micro Area",39386,53700,35570,1351,0.4508,65.5,3.2,7.9
58,12420,"Austin-Round Rock, TX Metro Area",2000590,69717,1554967,145243,0.4625,70.3,4.2,7.9
59,12460,"Bainbridge, GA Micro Area",27023,36934,14159,11382,0.5121,50.4,3.4,21.0
60,12540,"Bakersfield, CA Metro Area",878744,50826,660196,48078,0.4620,58.3,8.5,18.7
61,12580,"Baltimore-Columbia-Towson, MD Metro Area",2792050,75646,1699296,812786,0.4557,67.2,5.1,7.0
62,12620,"Bangor, ME Metro Area",152284,47886,144494,1189,0.4524,61.2,5.4,9.9
63,12660,"Baraboo, WI Micro Area",63340,54447,59704,444,0.4186,69.1,2.9,8.4
64,12680,"Bardstown, KY Micro Area",45131,55182,41383,2386,0.4518,64.1,4.1,8.0
65,12700,"Barnstable Town, MA Metro Area",213900,68048,197187,5857,0.4585,59.9,5.6,4.6
66,12740,"Barre, VT Micro Area",58691,60602,56325,502,0.4271,68.0,2.8,8.7
67,12780,"Bartlesville, OK Micro Area",51867,50388,40538,1318,0.4734,58.3,3.5,10.7
68,12820,"Bastrop, LA Micro Area",26290,31672,13094,12606,0.5043,48.9,3.0,23.2
69,12860,"Batavia, NY Micro Area",58537,54033,53921,1485,0.4085,64.5,3.8,9.3
70,12900,"Batesville, AR Micro Area",37097,39945,34197,756,0.4691,55.5,5.9,13.8
71,12940,"Baton Rouge, LA Metro Area",828741,55329,493718,293605,0.4740,63.4,4.6,12.0
72,12980,"Battle Creek, MI Metro Area",134327,46213,110351,14476,0.4444,59.0,6.4,13.1
73,13020,"Bay City, MI Metro Area",105350,45983,99587,1753,0.4421,58.1,5.4,11.9
74,13060,"Bay City, TX Micro Area",36744,44896,27443,3770,0.4690,60.4,6.4,16.9
75,13100,"Beatrice, NE Micro Area",21632,52223,20883,135,0.4007,66.4,2.2,4.5
76,13140,"Beaumont-Port Arthur, TX Metro Area",408663,48962,285031,99620,0.4798,56.8,4.8,13.2
77,13180,"Beaver Dam, WI Micro Area",87833,56038,82283,2144,0.3917,64.4,3.3,6.0
78,13220,"Beckley, WV Metro Area",121699,41141,109576,8312,0.4497,49.5,5.2,14.7
79,13260,"Bedford, IN Micro Area",45669,49985,44113,148,0.4082,59.1,4.8,9.4
80,13300,"Beeville, TX Micro Area",32729,45415,28594,2782,0.4692,40.6,5.3,17.2
81,13340,"Bellefontaine, OH Micro Area",45323,53051,43028,776,0.4215,62.5,3.0,10.3
82,13380,"Bellingham, WA Metro Area",212738,56419,179035,2129,0.4476,63.0,6.2,8.6
83,13420,"Bemidji, MN Micro Area",45847,45923,33693,446,0.4463,64.9,7.0,13.2
84,13460,"Bend-Redmond, OR Metro Area",175321,59152,164057,969,0.4484,62.3,3.7,8.1
85,13500,"Bennettsville, SC Micro Area",27505,33921,11296,13852,0.4594,50.2,10.7,22.5
86,13540,"Bennington, VT Micro Area",36054,52251,34672,350,0.4535,61.6,3.9,9.3
87,13620,"Berlin, NH-VT Micro Area",38322,44120,36342,832,0.4303,57.0,5.3,9.4
88,13660,"Big Rapids, MI Micro Area",43181,43470,40256,1098,0.4572,55.3,9.9,13.1
89,13700,"Big Spring, TX Micro Area",37911,51084,31552,2136,0.4688,52.8,4.6,11.5
90,13720,"Big Stone Gap, VA Micro Area",58763,34542,55144,2411,0.5002,44.6,7.3,17.4
91,13740,"Billings, MT Metro Area",167545,57812,152909,1167,0.4582,67.3,2.8,6.9
92,13780,"Binghamton, NY Metro Area",245446,50673,216459,11577,0.4557,58.7,5.8,10.1
93,13820,"Birmingham-Hoover, AL Metro Area",1144097,52088,756098,327640,0.4802,60.9,5.8,12.0
94,13900,"Bismarck, ND Metro Area",128673,66467,114714,1840,0.4432,71.6,1.5,5.7
95,13940,"Blackfoot, ID Micro Area",45369,51307,37735,142,0.3974,63.3,1.9,10.6
96,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",181863,50409,161769,8455,0.4738,57.6,3.8,9.0
97,14010,"Bloomington, IL Metro Area",189407,63333,159055,14290,0.4559,67.9,4.3,7.6
98,14020,"Bloomington, IN Metro Area",165393,46146,145371,4661,0.4981,61.5,5.3,11.3
99,14100,"Bloomsburg-Berwick, PA Metro Area",84917,49968,80615,1549,0.4598,57.2,4.0,8.5
100,14140,"Bluefield, WV-VA Micro Area",103652,39073,96037,5026,0.4692,49.0,5.0,14.0
101,14180,"Blytheville, AR Micro Area",43534,36417,26522,15294,0.4755,58.3,7.6,20.6
102,14220,"Bogalusa, LA Micro Area",46449,32962,31184,13993,0.4794,50.6,7.1,19.5
103,14260,"Boise City, ID Metro Area",677346,54120,608261,6584,0.4579,64.5,4.1,8.8
104,14300,"Bonham, TX Micro Area",33787,47875,29583,2189,0.4355,51.5,2.8,10.2
105,14340,"Boone, IA Micro Area",26381,57906,25493,108,0.4107,68.0,2.9,5.2
106,14380,"Boone, NC Micro Area",53421,41541,50149,832,0.5224,56.6,4.7,10.9
107,14420,"Borger, TX Micro Area",21704,50035,19121,467,0.4443,57.7,3.7,12.5
108,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4771936,81838,3674413,384527,0.4807,69.1,5.3,6.9
109,14500,"Boulder, CO Metro Area",316782,75669,280804,2737,0.4792,69.0,4.8,5.8
110,14540,"Bowling Green, KY Metro Area",169250,46716,145261,12176,0.4674,61.8,4.4,13.3
111,14580,"Bozeman, MT Micro Area",100733,59397,95345,318,0.4662,72.2,2.7,5.7
112,14620,"Bradford, PA Micro Area",42070,45866,39798,1111,0.4484,56.9,5.5,12.2
113,14660,"Brainerd, MN Micro Area",92315,52126,85369,521,0.4455,59.6,3.7,8.1
114,14700,"Branson, MO Micro Area",85837,41135,80661,598,0.4356,55.3,6.3,11.1
115,14720,"Breckenridge, CO Micro Area",29722,73538,26775,283,0.4333,78.5,3.3,4.1
116,14740,"Bremerton-Silverdale, WA Metro Area",258903,68336,211414,6491,0.4258,62.0,4.1,6.7
117,14780,"Brenham, TX Micro Area",34667,55793,27017,5911,0.4607,56.3,3.5,9.3
118,14820,"Brevard, NC Micro Area",33291,44559,30144,1363,0.4425,50.3,4.2,11.4
119,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",947328,89773,696286,107305,0.5443,68.1,7.7,6.3
120,15020,"Brookhaven, MS Micro Area",34542,37308,23567,10641,0.4668,52.2,5.3,18.9
121,15060,"Brookings, OR Micro Area",22377,42519,20499,74,0.4420,44.5,8.3,9.2
122,15100,"Brookings, SD Micro Area",33697,53473,31241,533,0.4343,71.5,1.9,5.9
123,15140,"Brownsville, TN Micro Area",17944,36118,8156,8973,0.4979,57.9,2.4,13.8
124,15180,"Brownsville-Harlingen, TX Metro Area",420201,36095,394799,1986,0.4899,55.3,6.8,27.4
125,15220,"Brownwood, TX Micro Area",37787,43062,34664,1496,0.4809,52.8,2.3,12.8
126,15260,"Brunswick, GA Metro Area",115939,44887,82465,27212,0.4954,57.6,5.4,16.1
127,15340,"Bucyrus, OH Micro Area",42231,41726,40916,367,0.4557,58.4,4.6,12.1
128,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1136670,53534,907751,139418,0.4619,62.5,4.8,10.3
129,15420,"Burley, ID Micro Area",43920,48095,41399,75,0.4145,62.9,2.2,12.7
130,15460,"Burlington, IA-IL Micro Area",46803,47511,42836,2424,0.4431,63.9,4.4,10.7
131,15500,"Burlington, NC Metro Area",157844,44281,111229,29972,0.4594,62.4,5.0,13.3
132,15540,"Burlington-South Burlington, VT Metro Area",216751,65476,199290,4523,0.4488,69.5,3.2,5.8
133,15580,"Butte-Silver Bow, MT Micro Area",34514,40480,32579,185,0.4825,61.4,4.2,13.5
134,15620,"Cadillac, MI Micro Area",47897,42631,46079,304,0.4192,56.9,5.7,11.9
135,15660,"Calhoun, GA Micro Area",56424,43452,50879,2298,0.4391,60.6,4.8,15.5
136,15680,"California-Lexington Park, MD Metro Area",110979,86508,87485,15922,0.4003,67.4,2.8,5.8
137,15700,"Cambridge, MD Micro Area",32386,50532,21345,8901,0.4704,63.2,9.6,11.9
138,15740,"Cambridge, OH Micro Area",39414,42744,37713,494,0.4384,57.1,4.8,16.5
139,15780,"Camden, AR Micro Area",29572,33107,17900,11128,0.4722,52.8,6.4,21.4
140,15820,"Campbellsville, KY Micro Area",25406,36455,23267,1195,0.4594,55.6,3.9,17.4
141,15860,"Cañon City, CO Micro Area",46601,44712,42068,2145,0.4401,38.5,5.4,12.5
142,15900,"Canton, IL Micro Area",35733,48599,33695,1352,0.4248,55.3,5.7,11.0
143,15940,"Canton-Massillon, OH Metro Area",402098,50217,357396,26963,0.4418,62.5,5.4,10.2
144,15980,"Cape Coral-Fort Myers, FL Metro Area",700165,52052,593227,60664,0.4786,52.8,6.2,10.2
145,16020,"Cape Girardeau, MO-IL Metro Area",97136,46872,84903,8568,0.4602,60.5,5.0,11.8
146,16060,"Carbondale-Marion, IL Metro Area",126592,42407,107438,11491,0.4872,56.9,5.9,13.0
147,16100,"Carlsbad-Artesia, NM Micro Area",56793,60703,52005,843,0.4238,63.7,3.2,10.9
148,16140,"Carroll, IA Micro Area",20428,54563,19846,301,0.4416,68.6,1.3,7.5
149,16180,"Carson City, NV Metro Area",54219,49341,43841,931,0.4509,59.5,4.4,11.1
150,16220,"Casper, WY Metro Area",81023,59400,75588,1067,0.4325,68.7,4.3,6.2
151,16260,"Cedar City, UT Micro Area",48504,45422,44154,281,0.4393,62.0,5.2,15.2
152,16300,"Cedar Rapids, IA Metro Area",266122,62399,240152,11557,0.4272,69.3,3.3,6.3
153,16340,"Cedartown, GA Micro Area",41444,40652,31246,5253,0.4840,59.1,4.9,16.3
154,16380,"Celina, OH Micro Area",40723,57052,39541,278,0.4102,68.2,3.1,4.9
155,16420,"Central City, KY Micro Area",31153,40037,28845,1516,0.4252,50.0,10.5,15.2
156,16460,"Centralia, IL Micro Area",38305,44679,35552,1299,0.4269,61.0,6.3,13.9
157,16500,"Centralia, WA Micro Area",76012,46387,69415,503,0.4221,53.4,6.2,10.5
158,16540,"Chambersburg-Waynesboro, PA Metro Area",153003,58267,142343,6033,0.4100,62.9,5.0,7.4
159,16580,"Champaign-Urbana, IL Metro Area",237849,50720,179655,27507,0.4971,63.2,4.5,9.3
160,16620,"Charleston, WV Metro Area",219964,45155,197810,13234,0.4719,54.8,6.0,13.3
161,16660,"Charleston-Mattoon, IL Micro Area",63439,43253,59348,2011,0.4916,60.6,6.0,12.8
162,16700,"Charleston-North Charleston, SC Metro Area",744195,57666,503404,196047,0.4712,65.3,4.6,9.7
163,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2427024,57871,1647912,542050,0.4761,67.1,5.7,10.1
164,16820,"Charlottesville, VA Metro Area",228825,63486,179123,31336,0.4727,61.2,3.4,7.4
165,16860,"Chattanooga, TN-GA Metro Area",548359,49471,446763,74462,0.4710,60.8,4.7,10.5
166,16940,"Cheyenne, WY Metro Area",97031,62879,86020,2603,0.4118,67.9,3.6,7.5
167,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9549229,65757,6303072,1599415,0.4830,66.9,6.9,9.7
168,17020,"Chico, CA Metro Area",225207,46516,185221,3372,0.4868,55.6,6.0,12.0
169,17060,"Chillicothe, OH Micro Area",77125,45792,69648,3972,0.4420,53.3,4.1,13.2
170,17140,"Cincinnati, OH-KY-IN Metro Area",2156723,59478,1770349,263446,0.4667,65.8,5.0,9.3
171,17200,"Claremont-Lebanon, NH-VT Micro Area",216739,58777,205488,1910,0.4564,63.5,3.4,6.1
172,17220,"Clarksburg, WV Micro Area",93985,47546,90035,1504,0.4507,56.3,5.6,10.4
173,17260,"Clarksdale, MS Micro Area",24296,28728,5247,18756,0.5183,56.9,12.7,30.9
174,17300,"Clarksville, TN-KY Metro Area",278844,50369,202015,54081,0.4293,64.9,6.3,12.1
175,17340,"Clearlake, CA Micro Area",64095,40446,49841,1493,0.4691,48.6,9.9,17.8
176,17380,"Cleveland, MS Micro Area",33121,28468,10875,21276,0.5142,50.0,9.5,31.4
177,17420,"Cleveland, TN Metro Area",120388,45570,110795,5176,0.4668,59.1,4.3,13.5
178,17460,"Cleveland-Elyria, OH Metro Area",2062764,52446,1522054,410657,0.4826,63.8,6.3,11.0
179,17500,"Clewiston, FL Micro Area",39064,37966,30341,4444,0.4751,60.0,6.8,21.5
180,17540,"Clinton, IA Micro Area",47587,50295,44594,1223,0.4350,62.8,2.6,8.9
181,17580,"Clovis, NM Micro Area",50283,41941,34262,2958,0.4665,63.8,5.8,19.5
182,17620,"Coamo, PR Micro Area",39796,19110,26183,8496,0.5069,39.3,10.9,44.2
183,17640,"Coco, PR Micro Area",29239,16246,16612,7888,0.4883,39.5,7.6,49.9
184,17660,"Coeur d'Alene, ID Metro Area",150128,53189,141527,664,0.4392,60.8,3.2,9.7
185,17700,"Coffeyville, KS Micro Area",33463,43977,28487,1776,0.4322,58.7,3.6,12.6
186,17740,"Coldwater, MI Micro Area",43543,48192,40880,1045,0.4052,57.4,3.9,10.7
187,17780,"College Station-Bryan, TX Metro Area",248554,45078,186915,27730,0.5073,61.9,4.1,13.9
188,17820,"Colorado Springs, CO Metro Area",698595,62751,559248,41615,0.4331,67.5,5.4,7.7
189,17860,"Columbia, MO Metro Area",174589,52005,142131,14901,0.4759,68.1,5.2,9.5
190,17900,"Columbia, SC Metro Area",808377,52728,486443,269161,0.4586,64.7,5.9,11.2
191,17980,"Columbus, GA-AL Metro Area",309979,44209,157132,126005,0.4876,61.7,7.2,15.0
192,18020,"Columbus, IN Metro Area",81024,57331,69237,1558,0.4324,65.8,4.1,8.5
193,18060,"Columbus, MS Micro Area",59558,43198,32099,25925,0.4580,60.1,9.0,17.1
194,18100,"Columbus, NE Micro Area",32875,58679,31395,144,0.4190,72.7,1.8,6.3
195,18140,"Columbus, OH Metro Area",2023695,60170,1550627,305414,0.4584,67.6,4.5,10.0
196,18180,"Concord, NH Micro Area",147958,69856,139920,1813,0.4216,66.0,2.7,4.8
197,18220,"Connersville, IN Micro Area",23426,41476,22538,589,0.4407,55.5,4.3,15.2
198,18260,"Cookeville, TN Micro Area",109133,36898,103668,1951,0.5017,54.6,5.2,15.1
199,18300,"Coos Bay, OR Micro Area",62921,40848,55605,738,0.4910,51.2,7.2,12.9
200,18380,"Cordele, GA Micro Area",23005,33194,12313,9931,0.5613,55.5,9.9,27.0
201,18420,"Corinth, MS Micro Area",37242,38919,31710,4374,0.4479,55.4,7.8,14.7
202,18460,"Cornelia, GA Micro Area",43878,44474,37877,1381,0.4370,52.4,4.5,12.3
203,18500,"Corning, NY Micro Area",97539,50157,92591,1604,0.4531,59.2,4.6,9.8
204,18580,"Corpus Christi, TX Metro Area",450183,52883,401396,15122,0.4656,62.5,3.5,12.5
205,18620,"Corsicana, TX Micro Area",48239,45103,36497,6439,0.4523,60.5,6.9,16.0
206,18660,"Cortland, NY Micro Area",48334,52451,45776,869,0.4334,63.6,3.7,7.6
207,18700,"Corvallis, OR Metro Area",88249,54682,76444,881,0.4869,59.3,5.2,8.0
208,18740,"Coshocton, OH Micro Area",36602,43251,35445,396,0.4091,58.2,3.7,9.6
209,18780,"Craig, CO Micro Area",13056,53010,12386,126,0.4240,65.5,1.9,8.0
210,18820,"Crawfordsville, IN Micro Area",38288,53075,36742,308,0.3891,64.7,2.8,6.1
211,18860,"Crescent City, CA Micro Area",27442,41287,21073,493,0.4810,43.6,6.9,16.8
212,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",261048,57421,210520,22435,0.4472,62.1,5.1,9.3
213,18900,"Crossville, TN Micro Area",58178,40994,56417,383,0.4344,46.0,5.0,11.5
214,18980,"Cullman, AL Micro Area",81703,40997,78056,948,0.4482,52.1,4.2,12.3
215,19000,"Cullowhee, NC Micro Area",41725,45078,34877,1231,0.4531,54.1,6.4,14.3
216,19060,"Cumberland, MD-WV Metro Area",100012,42169,90195,6836,0.4350,52.0,6.7,10.9
217,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7104415,63870,4930563,1093212,0.4706,68.6,4.6,10.1
218,19140,"Dalton, GA Metro Area",143407,43076,130069,4483,0.4568,62.4,6.2,14.3
219,19180,"Danville, IL Metro Area",79207,44930,65453,11075,0.4384,55.9,6.0,14.7
220,19220,"Danville, KY Micro Area",54186,39960,49463,2661,0.4579,53.5,6.4,14.1
221,19260,"Danville, VA Micro Area",103881,40124,65593,33727,0.4495,57.4,7.5,13.0
222,19300,"Daphne-Fairhope-Foley, AL Metro Area",203360,52562,175961,19414,0.4618,58.0,5.0,8.2
223,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",383141,54629,328504,29092,0.4413,63.5,4.7,9.5
224,19380,"Dayton, OH Metro Area",800893,51204,629408,123367,0.4580,62.3,5.7,12.0
225,19420,"Dayton, TN Micro Area",32478,39368,30751,720,0.4660,56.1,2.8,18.0
226,19460,"Decatur, AL Metro Area",152445,46725,122726,18591,0.4519,55.5,5.1,13.9
227,19500,"Decatur, IL Metro Area",107587,49052,84088,15021,0.4710,61.5,7.1,12.7
228,19540,"Decatur, IN Micro Area",35018,48290,33935,328,0.4300,62.8,3.1,13.7
229,19580,"Defiance, OH Micro Area",38311,55295,34866,741,0.3953,64.4,2.0,8.3
230,19620,"Del Rio, TX Micro Area",48976,44609,45317,664,0.4647,58.6,3.9,17.4
231,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",623675,45016,516847,66000,0.4557,51.3,5.7,10.2
232,19700,"Deming, NM Micro Area",24319,27602,22268,329,0.4805,48.0,6.3,28.8
233,19740,"Denver-Aurora-Lakewood, CO Metro Area",2798684,71884,2285334,156781,0.4561,70.9,4.1,7.0
234,19760,"DeRidder, LA Micro Area",36598,47350,30377,4637,0.4563,54.6,6.7,12.8
